day,year,mo,da,collision_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_COLLISIONS
5,2014,02,28,2014-02-28,18.1,-2.6,9999.9,9.8,11.4,22.0,28.9,24.8,8.6,99.99,999.9,0,655
6,2014,03,01,2014-03-01,19.8,8.7,9999.9,10.0,5.0,15.9,20.0,35.6,5.0,0.0,999.9,0,497
7,2014,03,02,2014-03-02,33.5,28.1,9999.9,9.8,7.6,11.1,999.9,37.4,32.0,0.0,999.9,0,344
1,2014,03,03,2014-03-03,20.5,3.9,9999.9,9.1,7.6,13.0,21.0,21.2,19.4,99.99,999.9,0,440
2,2014,03,04,2014-03-04,18.9,2.4,9999.9,10.0,6.2,11.1,999.9,30.2,8.6,0.0,999.9,0,532
3,2014,03,05,2014-03-05,27.1,15.8,9999.9,9.3,5.2,12.0,20.0,32.0,23.0,99.99,999.9,0,491
4,2014,03,06,2014-03-06,24.2,13.7,9999.9,8.7,10.0,15.0,21.0,26.6,21.2,99.99,999.9,0,558
2,2014,03,11,2014-03-11,43.5,33.4,9999.9,8.0,5.0,9.9,15.0,55.4,33.8,0.0,999.9,0,510
3,2014,03,12,2014-03-12,44.0,37.2,9999.9,8.8,7.9,25.1,33.0,55.4,33.8,99.99,999.9,0,515
4,2014,03,13,2014-03-13,31.7,27.1,9999.9,5.0,13.5,21.0,29.9,53.6,19.4,99.99,999.9,0,545
5,2014,03,14,2014-03-14,22.9,7.3,9999.9,10.0,11.7,19.0,28.0,35.6,14.0,0.0,999.9,0,585
6,2014,03,15,2014-03-15,43.4,33.9,9999.9,9.4,14.6,21.0,28.9,51.8,33.8,99.99,999.9,0,519
7,2014,03,16,2014-03-16,34.9,14.4,9999.9,10.0,10.1,19.0,26.0,42.8,28.4,0.0,999.9,0,412
1,2014,03,17,2014-03-17,26.6,8.2,9999.9,10.0,6.8,11.1,14.0,30.2,21.2,0.0,999.9,0,519
2,2014,03,18,2014-03-18,21.9,13.3,9999.9,10.0,4.8,13.0,15.0,35.6,12.2,0.0,999.9,0,551
3,2014,03,19,2014-03-19,31.0,22.3,9999.9,10.0,6.2,13.0,19.0,42.8,17.6,0.0,999.9,0,525
4,2014,03,20,2014-03-20,43.8,38.5,9999.9,7.4,11.3,20.0,28.0,51.8,35.6,99.99,999.9,1,627
3,2014,03,26,2014-03-26,29.3,16.2,9999.9,4.0,23.3,26.0,40.0,32.0,26.6,99.99,999.9,0,563
4,2014,03,27,2014-03-27,26.6,0.5,9999.9,10.0,17.0,24.1,36.9,28.4,24.8,0.0,999.9,0,538
5,2014,03,28,2014-03-28,44.3,36.3,9999.9,9.3,16.1,32.1,42.9,57.2,32.0,99.99,999.9,0,530
6,2014,03,29,2014-03-29,44.4,42.1,9999.9,5.1,9.4,17.1,27.0,51.8,33.8,99.99,999.9,1,569
7,2014,03,30,2014-03-30,46.9,46.8,9999.9,2.6,12.5,22.0,32.1,55.4,37.4,99.99,999.9,1,437
2,2014,04,01,2014-04-01,38.1,28.3,9999.9,9.8,12.3,21.0,34.0,44.6,35.6,99.99,999.9,0,549
3,2014,04,02,2014-04-02,43.3,23.9,9999.9,10.0,8.2,13.0,19.0,50.0,26.6,0.0,999.9,0,519
4,2014,04,03,2014-04-03,39.3,28.7,9999.9,8.6,5.6,17.1,20.0,50.0,26.6,0.0,999.9,1,592
5,2014,04,04,2014-04-04,39.4,29.9,9999.9,10.0,5.6,14.0,19.0,50.0,32.0,0.0,999.9,0,622
6,2014,04,05,2014-04-05,45.0,39.9,9999.9,7.1,9.2,15.9,26.0,53.6,39.2,99.99,999.9,0,580
7,2014,04,06,2014-04-06,41.2,24.6,9999.9,10.0,9.6,17.1,21.0,48.2,33.8,0.0,999.9,0,484
1,2014,04,07,2014-04-07,43.4,30.0,9999.9,10.0,5.4,12.0,18.1,55.4,32.0,0.0,999.9,0,533
2,2014,04,08,2014-04-08,49.4,48.4,9999.9,3.1,15.1,22.9,33.0,59.0,46.4,99.99,999.9,1,606
5,2014,04,25,2014-04-25,49.4,27.5,9999.9,10.0,8.8,11.1,20.0,51.8,46.4,0.0,999.9,0,617
6,2014,04,26,2014-04-26,45.1,39.2,9999.9,8.3,8.7,11.1,17.1,46.4,44.6,0.0,999.9,0,548
1,2014,04,28,2014-04-28,44.9,36.7,9999.9,10.0,9.3,15.9,27.0,53.6,37.4,0.0,999.9,0,597
2,2014,04,29,2014-04-29,44.4,36.7,9999.9,9.8,13.6,19.0,28.0,55.4,41.0,0.0,999.9,0,555
3,2014,04,30,2014-04-30,42.6,36.7,9999.9,9.1,10.2,15.0,19.0,48.2,41.0,99.99,999.9,0,651
4,2014,05,01,2014-05-01,51.5,51.1,9999.9,3.0,13.7,21.0,29.9,60.8,42.8,99.99,999.9,1,650
5,2014,05,02,2014-05-02,54.0,45.3,9999.9,6.1,7.5,21.0,28.0,66.2,46.4,99.99,999.9,1,698
6,2014,05,03,2014-05-03,54.0,39.5,9999.9,9.5,6.8,15.9,21.0,66.2,35.6,0.0,999.9,0,590
7,2014,05,04,2014-05-04,54.4,42.1,9999.9,9.8,12.4,26.0,35.9,62.6,48.2,99.99,999.9,0,451
1,2014,05,05,2014-05-05,53.2,41.8,9999.9,9.8,8.5,17.1,26.0,59.0,48.2,99.99,999.9,0,618
2,2014,05,06,2014-05-06,51.1,38.6,9999.9,10.0,3.8,13.0,22.9,64.4,39.2,99.99,999.9,0,565
3,2014,05,07,2014-05-07,57.7,33.4,9999.9,10.0,8.1,12.0,17.1,62.6,50.0,0.0,999.9,0,603
4,2014,05,08,2014-05-08,53.0,43.3,9999.9,10.0,7.1,15.0,20.0,64.4,42.8,0.0,999.9,0,596
5,2014,05,09,2014-05-09,53.9,49.2,9999.9,9.1,4.5,11.1,999.9,57.2,48.2,0.0,999.9,1,584
6,2014,05,10,2014-05-10,60.9,56.1,9999.9,8.9,12.6,17.1,25.1,68.0,55.4,0.0,999.9,0,549
7,2014,05,11,2014-05-11,62.1,51.1,9999.9,9.3,10.3,21.0,27.0,71.6,55.4,99.99,999.9,0,584
1,2014,05,12,2014-05-12,63.3,43.9,9999.9,10.0,6.5,19.0,28.0,80.6,46.4,99.99,999.9,0,581
2,2014,05,13,2014-05-13,53.4,44.7,9999.9,10.0,12.4,18.1,26.0,60.8,46.4,0.0,999.9,0,560
3,2014,05,14,2014-05-14,51.9,45.3,9999.9,10.0,6.5,11.1,15.9,62.6,44.6,0.0,999.9,0,638
5,2014,05,30,2014-05-30,49.2,41.8,9999.9,9.9,3.3,9.9,13.0,62.6,35.6,0.0,999.9,0,650
6,2014,05,31,2014-05-31,58.6,46.8,9999.9,10.0,14.3,18.1,26.0,60.8,57.2,0.0,999.9,0,587
2,2014,06,03,2014-06-03,61.3,51.1,9999.9,10.0,8.0,17.1,22.0,71.6,48.2,0.0,999.9,0,663
3,2014,06,04,2014-06-04,57.1,53.1,9999.9,9.6,4.5,9.9,999.9,64.4,53.6,99.99,999.9,0,582
4,2014,06,05,2014-06-05,58.8,58.8,9999.9,4.0,5.8,15.0,24.1,62.6,55.4,99.99,999.9,1,569
5,2014,06,06,2014-06-06,62.4,55.6,9999.9,9.3,7.6,12.0,19.0,75.2,51.8,0.0,999.9,0,743
6,2014,06,07,2014-06-07,66.7,55.2,9999.9,10.0,6.0,13.0,999.9,77.0,55.4,99.99,999.9,0,623
7,2014,06,08,2014-06-08,69.5,56.4,9999.9,10.0,4.1,8.9,11.1,82.4,53.6,99.99,999.9,0,516
1,2014,06,09,2014-06-09,67.0,57.4,9999.9,10.0,6.6,11.1,15.0,75.2,59.0,0.0,999.9,0,528
2,2014,06,10,2014-06-10,66.6,63.3,9999.9,9.6,8.0,19.0,27.0,71.6,62.6,99.99,999.9,0,569
4,2015,12,31,2015-12-31,46.5,41.8,9999.9,9.5,11.0,15.0,999.9,48.0,45.0,0.0,999.9,0,527
2,2020,09,29,2020-09-29,67.5,65.8,9999.9,6.1,5.5,8,999.9,68.0,66.0,0.0,999.9,1,317
